jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|disk:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=disk,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=disk, 
1043,  5069,  completed,  eof,  2018-09-29 23:26:57,  2018-09-29 23:27:03,  6,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|disk:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  300,  11,  14,  3,  0.05005,  272,  0.05015,  7.72486084375e-08,  1.18754143466e-07, 
1043,  5080,  completed,  eof,  2018-09-29 23:26:57,  2018-09-29 23:27:03,  6,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_22.modelParams|spParams|synPermInactiveDec_0.1,  300,  9,  12,  1,  0.0001,  22,  0.1,  7.73139144916e-08,  1.18854538343e-07, 
1043,  5128,  completed,  eof,  2018-09-29 23:26:57,  2018-09-29 23:27:04,  7,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|disk:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  300,  12,  16,  5,  0.1,  521,  0.0003,  7.73028712792e-08,  1.18837561633e-07, 
1043,  5150,  completed,  eof,  2018-09-29 23:26:57,  2018-09-29 23:27:03,  6,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|disk:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  300,  10,  13,  2,  0.025075,  147,  0.075075,  4.77098557227e-08,  7.33442733256e-08, 
1043,  5179,  completed,  eof,  2018-09-29 23:26:58,  2018-09-29 23:27:03,  5,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|disk:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  300,  11,  15,  4,  0.075025,  396,  0.025225,  3.21188773029e-08,  4.93762909178e-08, 
1043,  5204,  completed,  eof,  2018-09-29 23:27:03,  2018-09-29 23:27:07,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_47.modelParams|spParams|synPermInactiveDec_0.1,  300,  9,  12,  1,  0.0001,  47,  0.1,  1.78416732952e-08,  2.74279714941e-08, 
1043,  5205,  completed,  eof,  2018-09-29 23:27:03,  2018-09-29 23:27:08,  5,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.055045.modelParams|sensorParams|encoders|disk:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  300,  11,  14,  3,  0.055045,  296,  0.055135,  7.72502832746e-08,  1.1875671819e-07, 
1043,  5206,  completed,  eof,  2018-09-29 23:27:03,  2018-09-29 23:27:08,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.02008.modelParams|sensorParams|encoders|disk:n_122.modelParams|spParams|synPermInactiveDec_0.07009,  300,  10,  13,  2,  0.02008,  122,  0.07009,  4.62379269024e-08,  7.10814798612e-08, 
1043,  5207,  completed,  eof,  2018-09-29 23:27:04,  2018-09-29 23:27:09,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.08002.modelParams|sensorParams|encoders|disk:n_371.modelParams|spParams|synPermInactiveDec_0.03021,  300,  10,  15,  4,  0.08002,  371,  0.03021,  3.21196979679e-08,  4.93775525246e-08, 
1043,  5208,  completed,  eof,  2018-09-29 23:27:04,  2018-09-29 23:27:10,  6,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.084146481062.modelParams|sensorParams|encoders|disk:n_444.modelParams|spParams|synPermInactiveDec_0.0302633922224,  300,  11,  15,  4,  0.084146481062,  444,  0.0302633922224,  3.21196979679e-08,  4.93775525246e-08, 
1043,  5209,  completed,  eof,  2018-09-29 23:27:07,  2018-09-29 23:27:12,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_53.modelParams|spParams|synPermInactiveDec_0.1,  300,  9,  12,  1,  0.0001,  53,  0.1,  1.78416732952e-08,  2.74279714941e-08, 
1043,  5210,  completed,  eof,  2018-09-29 23:27:08,  2018-09-29 23:27:12,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00215243484963.modelParams|sensorParams|encoders|disk:n_55.modelParams|spParams|synPermInactiveDec_0.0988178206669,  300,  9,  12,  1,  0.00215243484963,  55,  0.0988178206669,  1.78416732952e-08,  2.74279714941e-08, 
1043,  5211,  completed,  eof,  2018-09-29 23:27:08,  2018-09-29 23:27:13,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0089823646424.modelParams|sensorParams|encoders|disk:n_95.modelParams|spParams|synPermInactiveDec_0.1,  300,  9,  12,  1,  0.0089823646424,  95,  0.1,  3.69742504618e-08,  5.68404471319e-08, 
1043,  5212,  completed,  eof,  2018-09-29 23:27:09,  2018-09-29 23:27:14,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0131088457044.modelParams|sensorParams|encoders|disk:n_108.modelParams|spParams|synPermInactiveDec_0.1,  300,  10,  12,  1,  0.0131088457044,  108,  0.1,  4.13604820523e-08,  6.35833928769e-08, 
1043,  5213,  completed,  eof,  2018-09-29 23:27:10,  2018-09-29 23:27:15,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0100231552979.modelParams|sensorParams|encoders|disk:n_103.modelParams|spParams|synPermInactiveDec_0.1,  300,  9,  12,  1,  0.0100231552979,  103,  0.1,  3.73270385422e-08,  5.73827875981e-08, 
1043,  5215,  completed,  killed,  2018-09-29 23:27:12,  2018-09-29 23:27:15,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_31.modelParams|spParams|synPermInactiveDec_0.1,  150,  9,  12,  1,  0.0001,  31,  0.1,  3.58030893642e-08,  5.50400222699e-08, 
1043,  5216,  completed,  killed,  2018-09-29 23:27:12,  2018-09-29 23:27:15,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_48.modelParams|spParams|synPermInactiveDec_0.1,  150,  9,  12,  1,  0.0001,  48,  0.1,  3.58030893642e-08,  5.50400222699e-08, 
1043,  5217,  completed,  killed,  2018-09-29 23:27:13,  2018-09-29 23:27:15,  2,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_22.modelParams|spParams|synPermInactiveDec_0.1,  100,  9,  12,  1,  0.0001,  22,  0.1,  2.33495383226e-07,  3.58952008634e-07, 
1043,  5218,  completed,  killed,  2018-09-29 23:27:14,  2018-09-29 23:27:15,  1,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00342885465969.modelParams|sensorParams|encoders|disk:n_62.modelParams|spParams|synPermInactiveDec_0.1,  50,  9,  12,  1,  0.00342885465969,  62,  0.1,  0.0,  0.0, 


jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|disk:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=disk,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=disk, 
1044,  5219,  completed,  eof,  2018-09-29 23:27:52,  2018-09-29 23:27:58,  6,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|disk:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  300,  11,  14,  3,  0.05005,  272,  0.05015,  1.21196252588e-14,  1.8631513088e-14, 
1044,  5247,  completed,  eof,  2018-09-29 23:27:52,  2018-09-29 23:27:58,  6,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_22.modelParams|spParams|synPermInactiveDec_0.1,  300,  9,  12,  1,  0.0001,  22,  0.1,  1.41157988308e-14,  2.17002328908e-14, 
1044,  5273,  completed,  eof,  2018-09-29 23:27:53,  2018-09-29 23:27:59,  6,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|disk:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  300,  12,  16,  5,  0.1,  521,  0.0003,  1.30701841026e-14,  2.00928082322e-14, 
1044,  5300,  completed,  eof,  2018-09-29 23:27:53,  2018-09-29 23:27:58,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|disk:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  300,  10,  13,  2,  0.025075,  147,  0.075075,  1.04086193399e-14,  1.60011818285e-14, 
1044,  5322,  completed,  eof,  2018-09-29 23:27:53,  2018-09-29 23:27:59,  6,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|disk:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  300,  11,  15,  4,  0.075025,  396,  0.025225,  1.27374885073e-14,  1.95813549317e-14, 
1044,  5334,  completed,  eof,  2018-09-29 23:27:58,  2018-09-29 23:28:03,  5,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.055045.modelParams|sensorParams|encoders|disk:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  300,  11,  14,  3,  0.055045,  296,  0.055135,  1.23097370275e-14,  1.89237721169e-14, 
1044,  5335,  completed,  eof,  2018-09-29 23:27:58,  2018-09-29 23:28:03,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0368020378759.modelParams|sensorParams|encoders|disk:n_250.modelParams|spParams|synPermInactiveDec_0.0550282155552,  300,  10,  14,  3,  0.0368020378759,  250,  0.0550282155552,  1.14542340681e-14,  1.76086064871e-14, 
1044,  5346,  completed,  eof,  2018-09-29 23:27:59,  2018-09-29 23:28:04,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.02008.modelParams|sensorParams|encoders|disk:n_122.modelParams|spParams|synPermInactiveDec_0.07009,  300,  10,  13,  2,  0.02008,  122,  0.07009,  9.69570020703e-15,  1.49052104704e-14, 
1044,  5347,  completed,  eof,  2018-09-29 23:27:59,  2018-09-29 23:28:04,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0383229621241.modelParams|sensorParams|encoders|disk:n_169.modelParams|spParams|synPermInactiveDec_0.0801667844448,  300,  10,  13,  2,  0.0383229621241,  169,  0.0801667844448,  1.17394017213e-14,  1.80469950304e-14, 
1044,  5348,  completed,  eof,  2018-09-29 23:27:59,  2018-09-29 23:28:04,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0424494431861.modelParams|sensorParams|encoders|disk:n_242.modelParams|spParams|synPermInactiveDec_0.0802201766672,  300,  10,  13,  2,  0.0424494431861,  242,  0.0802201766672,  1.16918737791e-14,  1.79739302732e-14, 
1044,  5349,  completed,  eof,  2018-09-29 23:28:03,  2018-09-29 23:28:08,  5,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0361881030509.modelParams|sensorParams|encoders|disk:n_223.modelParams|spParams|synPermInactiveDec_0.0638749964113,  300,  11,  13,  2,  0.0361881030509,  223,  0.0638749964113,  1.14067061259e-14,  1.75355417299e-14, 
1044,  5350,  completed,  eof,  2018-09-29 23:28:03,  2018-09-29 23:28:08,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0298308835804.modelParams|sensorParams|encoders|disk:n_176.modelParams|spParams|synPermInactiveDec_0.0752579727475,  300,  10,  13,  2,  0.0298308835804,  176,  0.0752579727475,  1.08838987618e-14,  1.67318294006e-14, 
1044,  5351,  completed,  eof,  2018-09-29 23:28:04,  2018-09-29 23:28:08,  4,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.01883125.modelParams|sensorParams|encoders|disk:n_116.modelParams|spParams|synPermInactiveDec_0.06884375,  300,  10,  13,  2,  0.01883125,  116,  0.06884375,  9.50558843826e-15,  1.46129514416e-14, 
1044,  5352,  completed,  eof,  2018-09-29 23:28:04,  2018-09-29 23:28:09,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0139186742235.modelParams|sensorParams|encoders|disk:n_74.modelParams|spParams|synPermInactiveDec_0.0838038604777,  300,  9,  13,  1,  0.0139186742235,  74,  0.0838038604777,  9.03030901635e-15,  1.38823038695e-14, 
1044,  5353,  completed,  eof,  2018-09-29 23:28:04,  2018-09-29 23:28:09,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00938834012288.modelParams|sensorParams|encoders|disk:n_75.modelParams|spParams|synPermInactiveDec_0.090048344161,  300,  10,  12,  1,  0.00938834012288,  75,  0.090048344161,  7.22424721308e-15,  1.11058430956e-14, 
1044,  5354,  completed,  eof,  2018-09-29 23:28:08,  2018-09-29 23:28:13,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0225879690339.modelParams|sensorParams|encoders|disk:n_135.modelParams|spParams|synPermInactiveDec_0.0723150084679,  300,  10,  13,  2,  0.0225879690339,  135,  0.0723150084679,  1.01709796289e-14,  1.56358580425e-14, 
1044,  5358,  completed,  eof,  2018-09-29 23:28:08,  2018-09-29 23:28:13,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.01434512949.modelParams|sensorParams|encoders|disk:n_97.modelParams|spParams|synPermInactiveDec_0.0738607531826,  300,  10,  13,  2,  0.01434512949,  97,  0.0738607531826,  8.31738988348e-15,  1.27863325114e-14, 
1044,  5366,  completed,  eof,  2018-09-29 23:28:08,  2018-09-29 23:28:13,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0185190625.modelParams|sensorParams|encoders|disk:n_114.modelParams|spParams|synPermInactiveDec_0.0685321875,  300,  10,  13,  2,  0.0185190625,  114,  0.0685321875,  9.45806049607e-15,  1.45398866844e-14, 
1044,  5367,  completed,  eof,  2018-09-29 23:28:09,  2018-09-29 23:28:14,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00403579018462.modelParams|sensorParams|encoders|disk:n_51.modelParams|spParams|synPermInactiveDec_0.0909709895728,  300,  10,  12,  1,  0.00403579018462,  51,  0.0909709895728,  3.61212360654e-15,  5.5529215478e-15, 
1044,  5368,  completed,  eof,  2018-09-29 23:28:09,  2018-09-29 23:28:14,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00112306435707.modelParams|sensorParams|encoders|disk:n_33.modelParams|spParams|synPermInactiveDec_0.0925053860344,  300,  10,  12,  1,  0.00112306435707,  33,  0.0925053860344,  9.50558843826e-17,  1.46129514416e-16, 
1044,  5369,  completed,  eof,  2018-09-29 23:28:13,  2018-09-29 23:28:17,  4,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00633588448126.modelParams|sensorParams|encoders|disk:n_59.modelParams|spParams|synPermInactiveDec_0.0897337149551,  300,  10,  12,  1,  0.00633588448126,  59,  0.0897337149551,  5.70335306296e-15,  8.76777086495e-15, 
1044,  5370,  completed,  eof,  2018-09-29 23:28:13,  2018-09-29 23:28:17,  4,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00816920826935.modelParams|sensorParams|encoders|disk:n_64.modelParams|spParams|synPermInactiveDec_0.0921963340238,  300,  10,  12,  1,  0.00816920826935,  64,  0.0921963340238,  6.84402367555e-15,  1.05213250379e-14, 
1044,  5371,  completed,  eof,  2018-09-29 23:28:13,  2018-09-29 23:28:18,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0108189119855.modelParams|sensorParams|encoders|disk:n_82.modelParams|spParams|synPermInactiveDec_0.0900165436231,  300,  10,  12,  1,  0.0108189119855,  82,  0.0900165436231,  7.74705457718e-15,  1.19095554249e-14, 
1044,  5372,  completed,  eof,  2018-09-29 23:28:14,  2018-09-29 23:28:18,  4,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_23.modelParams|spParams|synPermInactiveDec_0.0931196465028,  300,  10,  12,  1,  0.0001,  23,  0.0931196465028,  1.41157988308e-14,  2.17002328908e-14, 
1044,  5373,  completed,  eof,  2018-09-29 23:28:14,  2018-09-29 23:28:19,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_31.modelParams|spParams|synPermInactiveDec_0.0943004551622,  300,  10,  12,  1,  0.0001,  31,  0.0943004551622,  0.0,  0.0, 
1044,  5374,  completed,  eof,  2018-09-29 23:28:17,  2018-09-29 23:28:22,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_29.modelParams|spParams|synPermInactiveDec_0.0964795637164,  300,  10,  12,  1,  0.0001,  29,  0.0964795637164,  0.0,  0.0, 
1044,  5375,  completed,  eof,  2018-09-29 23:28:17,  2018-09-29 23:28:22,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|disk:n_22.modelParams|spParams|synPermInactiveDec_0.0974763794484,  300,  10,  12,  1,  0.0001,  22,  0.0974763794484,  1.41157988308e-14,  2.17002328908e-14, 
1044,  5376,  completed,  eof,  2018-09-29 23:28:18,  2018-09-29 23:28:23,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.000800017984459.modelParams|sensorParams|encoders|disk:n_34.modelParams|spParams|synPermInactiveDec_0.0978818064524,  300,  10,  12,  1,  0.000800017984459,  34,  0.0978818064524,  4.75279421913e-17,  7.30647572079e-17, 
1044,  5377,  completed,  eof,  2018-09-29 23:28:18,  2018-09-29 23:28:23,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.000733337941654.modelParams|sensorParams|encoders|disk:n_31.modelParams|spParams|synPermInactiveDec_0.0925213531746,  300,  10,  12,  1,  0.000733337941654,  31,  0.0925213531746,  4.75279421913e-17,  7.30647572079e-17, 
